sensor_index,date_created,last_seen,name,Friendly_Name,model,firmware_version,latitude,longitude,altitude,date _expires,pollutants,sensor_man,site,av_buddy,qapp,Notes
200451,10/25/2023,7/21/2025,Exide 1,TDEC APC - Exide - 200451,PA-II-SD,7.02,36.524433,-82.27261,1507,,PM,PurpleAir,Exide,,FALSE,
200469,10/25/2023,7/21/2025,Exide 2,TDEC APC - Exide - 200469,PA-II-SD,7.02,36.524162,-82.272385,1502,,PM,PurpleAir,Exide,,FALSE,
ANHWXTTM,,,HV 1,TDEC APC - Hendersonville - ANHWXTTM,Clarity Node,,36.29765945,-86.65217215,,1/23/2026,"PM,NO2",Clarity Node,Hendersonville,HVILLE,FALSE,
AYVMJFQ4,1/25/2025,,Loretto Node/O3,TDEC APC - Loretto - AYVMJFQ4,Clarity Node,,35.11624,-87.41935,,12/23/2025,"PM,O3,NO2",Clarity Node,Loretto,Loretto,TRUE,
AQV7LXJN,1/25/2025,,Clarksville Node-S/Ozone Module,TDEC APC - Clarksville - AQV7LXJN,Clarity Node,,36.61141737,-87.38456593,,1/23/2026,"PM,O3,NO2",Clarity Node,Clarksville,Clarksville WC,TRUE,
AK6YN4GQ,,,HV 2,TDEC APC - Hendersonville - AK6YN4GQ,Clarity Node,,36.29727452,-86.65200007,,1/23/2026,"PM,NO2",Clarity Node,Hendersonville,HVILLE,FALSE,
AVXYF3F3,,,HV 4,TDEC APC - Hendersonville - AVXYF3F3,Clarity Node,,36.29704022,-86.65253537,,12/23/2025,"PM,NO2",Clarity Node,Hendersonville,HVILLE,FALSE,
ARMTKC7X,,,HV 3,TDEC APC - Hendersonville - ARMTKC7X,Clarity Node,,36.29786584,-86.65250465,,12/23/2025,"PM,NO2",Clarity Node,Hendersonville,HVILLE,FALSE,
AYP7CLJJ,1/25/2025,,Cookeville Cane Creek Node/O3,TDEC APC - Cookeville Cane Creek - AYP7CLJJ,Clarity Node,,36.16131845,-85.54025169,,1/23/2026,"PM,O3,NO2",Clarity Node,Cookeville Cane Creek,Cookeville,TRUE,
ALMCWJHW,1/25/2025,,Jackson Clarity Node-S/Ozone Module (DQGJD0125),TDEC APC - Jackson - ALMCWJHW,Clarity Node,,35.7053557,-88.81956447,,1/23/2026,"PM,O3,NO2",Clarity Node,Jackson,Jackson NP,TRUE,
A9PNC7JG,,,Loudon Node-S/O3 Module,TDEC APC - Loudon - A9PNC7JG,Clarity Node,,35.72117632,-84.34296064,,1/23/2026,"PM,O3,NO2",Clarity Node,Loudon,Loudon School,TRUE,
261319,1/25/2025,8/6/2025,Loudon QC4,TDEC APC - Loudon - 261319,PA-II,7.02,35.72113715,-84.34297425,812,,PM,PurpleAir,Loudon,Loudon School,FALSE,QAPP only has 1 PA assigned for Loudon
261289,1/25/2025,8/6/2025,Loudon QC3,TDEC APC - Loudon - 261289,PA-II,7.02,35.72089979,-84.34295279,812,,PM,PurpleAir,Loudon,Loudon School,TRUE,
261333,1/25/2025,,Happy Hill,TDEC APC - Happy Hill - 261333,PA-II,7.02,36.51302639,-82.55048083,1304,,PM,PurpleAir,Happy Hill,Kingsport PM,TRUE,
261453,1/26/2025,,Kingsport Ketron,TDEC APC - Kingsport Ketron - 261453,PA-II,7.02,36.58211,-82.485742,1397,,PM,PurpleAir,Kingsport Ketron,Kingsport PM,TRUE,
261325,1/25/2025,,Kingsport QC2,TDEC APC - Kingsport PM - 261325,PA-II,7.02,36.53961,-82.522621,1305,,PM,PurpleAir,Kingsport PM,Kingsport PM,TRUE,
A9YQHXMX,1/25/2025,,Loretto Node/O3,TDEC APC - Loretto – A9YQHXMX,Clarity Node,,35.11624,-87.41935,,12/23/2025,"PM,O3,NO2",Clarity Node,Loretto,Loretto,TRUE,
